Accession	Description	markers	tagm.map.allocation	tagm.map.probability	tagm.map.joint.19S.proteasome	tagm.map.joint.20S.proteasome	tagm.map.joint.40S.ribosome	tagm.map.joint.60S.ribosome	tagm.map.joint.apical.1	tagm.map.joint.apical.2	tagm.map.joint.apicoplast	tagm.map.joint.cytosol	tagm.map.joint.dense.granules	tagm.map.joint.endomembrane.vesicles	tagm.map.joint.ER	tagm.map.joint.ER.2	tagm.map.joint.Golgi	tagm.map.joint.IMC	tagm.map.joint.micronemes	tagm.map.joint.mitochondrion...membranes	tagm.map.joint.mitochondrion...soluble	tagm.map.joint.nucleolus	tagm.map.joint.nucleus...chromatin	tagm.map.joint.nucleus...non.chromatin	tagm.map.joint.PM...integral	tagm.map.joint.PM...peripheral.1	tagm.map.joint.PM...peripheral.2	tagm.map.joint.rhoptries.1	tagm.map.joint.rhoptries.2	tagm.map.joint.tubulin.cytoskeleton	tagm.map.outlier	tagm.map.loc.prob	tagm.map.allocation.pred	tagm.mcmc.allocation	tagm.mcmc.probability	tagm.mcmc.probability.lowerquantile	tagm.mcmc.probability.upperquantile	tagm.mcmc.mean.shannon	tagm.mcmc.outlier	tagm.mcmc.joint.19S.proteasome	tagm.mcmc.joint.20S.proteasome	tagm.mcmc.joint.40S.ribosome	tagm.mcmc.joint.60S.ribosome	tagm.mcmc.joint.apical.1	tagm.mcmc.joint.apical.2	tagm.mcmc.joint.apicoplast	tagm.mcmc.joint.cytosol	tagm.mcmc.joint.dense.granules	tagm.mcmc.joint.endomembrane.vesicles	tagm.mcmc.joint.ER	tagm.mcmc.joint.ER.2	tagm.mcmc.joint.Golgi	tagm.mcmc.joint.IMC	tagm.mcmc.joint.micronemes	tagm.mcmc.joint.mitochondrion...membranes	tagm.mcmc.joint.mitochondrion...soluble	tagm.mcmc.joint.nucleolus	tagm.mcmc.joint.nucleus...chromatin	tagm.mcmc.joint.nucleus...non.chromatin	tagm.mcmc.joint.PM...integral	tagm.mcmc.joint.PM...peripheral.1	tagm.mcmc.joint.PM...peripheral.2	tagm.mcmc.joint.rhoptries.1	tagm.mcmc.joint.rhoptries.2	tagm.mcmc.joint.tubulin.cytoskeleton	tagm.mcmc.loc.prob	tagm.mcmc.allocation.pred
TGME49_206510	toxolysin TLN4	micronemes	micronemes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	micronemes	micronemes	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	micronemes
TGME49_311470	rhoptry neck protein RON5	rhoptries 1	rhoptries 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	rhoptries 1	rhoptries 1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	rhoptries 1
TGME49_204130	perforin-like protein PLP1	micronemes	micronemes	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	micronemes	micronemes	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	micronemes
TGME49_221620	beta-tubulin, putative	tubulin cytoskeleton	tubulin cytoskeleton	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	tubulin cytoskeleton	tubulin cytoskeleton	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	tubulin cytoskeleton
TGME49_311230	hypothetical protein	unknown	IMC	5.532618e-43	0.005746033	0.004732033	0.009458343	0.01318043	0.01588611	0.005408038	0.04361959	0.159177	0.04250335	0.008788445	0.07604915	0.004056043	0.03454412	0.02770808	0.01724012	0.06418834	0.07065543	0.01045728	0.160695	0.1207751	0.03921936	0.01655806	0.01048378	0.01926674	0.01656206	0.003042021	1	0	unknown	IMC	1	1	1	3.160297e-11	4.335937e-16	1.600403e-59	5.571951e-44	3.182152e-43	7.384004e-47	1.412136e-12	8.489453e-25	1.865951e-44	9.055753e-119	6.679377e-33	1.473381e-28	3.298045e-60	1.471288e-23	5.025057e-33	1	6.240994e-30	5.693563e-87	2.64147e-69	4.018656e-39	4.530816e-101	2.342002e-133	2.027537e-26	9.604089e-44	1.425822e-18	5.904985e-29	1.063372e-22	1.618617e-35	1	IMC
TGME49_312630	anonymous antigen-1, putative	unknown	cytosol	0.999696	1.746722e-06	1.438478e-06	2.875217e-06	4.006686e-06	4.829177e-06	1.643975e-06	1.32598e-05	0.9997444	1.292048e-05	2.671576e-06	2.311798e-05	1.232986e-06	1.050098e-05	8.422906e-06	5.240779e-06	1.951244e-05	2.147836e-05	3.17888e-06	4.884924e-05	3.671411e-05	1.192219e-05	5.033441e-06	3.186937e-06	5.856847e-06	5.034656e-06	9.247361e-07	0.0003039874	0.9993921	cytosol	cytosol	0.9999682	0.9998898	0.9999993	0.0003495375	3.185143e-06	3.177268e-05	3.767227e-20	1.563273e-27	1.513982e-38	2.478313e-63	2.574165e-28	1.842418e-81	0.9999682	1.8589e-65	5.614901e-23	5.278193e-153	4.331262e-37	4.640203e-60	4.504206e-66	1.240681e-64	7.125739e-150	2.862251e-131	1.393897e-11	5.918608e-30	4.956732e-18	1.373486e-39	7.643106e-58	4.280534e-14	4.90733e-64	4.573058e-61	3.91347e-32	0.999965	cytosol
TGME49_233460	SAG-related sequence SRS29B	PM - peripheral 1	PM - peripheral 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	PM - peripheral 1	PM - peripheral 1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	PM - peripheral 1
TGME49_306660	RNA pseudouridine synthase superfamily protein	unknown	nucleus - chromatin	0.7532946	0.001417577	0.001167418	0.002333424	0.003251684	0.003919189	0.001334192	0.01076119	0.03926981	0.01048581	0.002168157	0.01876174	0.001000648	0.00852222	0.006835732	0.004253231	0.01583561	0.01743108	0.002579866	0.7929389	0.02979587	0.009675627	0.004084962	0.002586405	0.00475321	0.004085949	0.0007504831	0.2467054	0.5674528	unknown	nucleus - chromatin	0.9999996	0.9999981	0.9999999	7.0449e-06	0.003224935	1.174342e-21	1.735943e-37	4.198681e-21	4.977554e-23	1.43927e-21	1.161843e-12	3.694164e-57	1.604404e-41	2.989522e-07	1.14164e-21	3.262341e-33	1.551601e-27	8.602144e-40	3.754081e-45	3.423944e-50	1.002136e-39	1.30736e-13	1.341396e-07	0.9999996	1.176509e-08	4.298314e-24	1.99418e-54	3.76301e-09	9.418337e-21	7.153704e-37	2.182712e-17	0.9967746	nucleus - chromatin
TGME49_273760	heat shock protein HSP70	unknown	cytosol	0.9999986	8.189707e-09	6.744473e-09	1.348079e-08	1.878581e-08	2.264216e-08	7.707969e-09	6.217013e-08	0.9999988	6.057918e-08	1.2526e-08	1.083913e-07	5.780997e-09	4.923504e-08	3.949177e-08	2.4572e-08	9.148636e-08	1.007038e-07	1.490455e-08	2.290353e-07	1.721383e-07	5.589857e-08	2.359987e-08	1.494232e-08	2.746051e-08	2.360557e-08	4.335733e-09	1.42528e-06	0.9999971	cytosol	cytosol	0.9999954	0.9999864	0.999999	6.035228e-05	2.376874e-08	4.616143e-06	1.695357e-18	7.13409e-28	3.786131e-42	1.962615e-71	1.734744e-31	3.290565e-99	0.9999954	1.241413e-83	1.133718e-27	1.231366e-179	1.426919e-43	1.7973e-72	3.75928e-73	8.681006e-73	6.828325e-160	2.038791e-140	4.126464e-19	4.077779e-62	1.789662e-28	2.146162e-47	6.436539e-68	8.702918e-24	1.210535e-69	1.113075e-69	3.181856e-36	0.9999954	cytosol
TGME49_235470	myosin A	IMC	IMC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	IMC	IMC	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	IMC
TGME49_226960	phosphofructokinase PFKII	unknown	cytosol	0.9952418	2.734093e-05	2.251609e-05	4.500493e-05	6.271549e-05	7.558971e-05	2.573267e-05	0.0002075519	0.9959992	0.0002022406	4.181741e-05	0.0003618591	1.929957e-05	0.0001643687	0.0001318413	8.20324e-05	0.0003054226	0.0003361945	4.975809e-05	0.0007646231	0.0005746753	0.0001866146	7.878699e-05	4.98842e-05	9.167553e-05	7.880602e-05	1.447463e-05	0.004758226	0.9905062	cytosol	cytosol	0.999418	0.9979187	0.9999884	0.004697486	0.0001664993	0.000574408	1.559843e-31	3.362636e-36	5.804907e-43	3.312758e-56	6.51942e-27	1.599188e-63	0.999418	7.266612e-59	1.119183e-20	2.75275e-127	2.302426e-28	1.350602e-42	7.159445e-55	1.427403e-54	5.861759e-143	1.455484e-123	1.134661e-16	2.003865e-42	8.578061e-54	1.059892e-33	2.274743e-43	7.562596e-06	6.809262e-56	1.923598e-51	8.320699e-35	0.9992516	cytosol
TGME49_208370	myosin heavy chain, putative	unknown	IMC	0.9999881	5.638876e-09	4.643786e-09	9.281956e-09	1.293463e-08	1.558985e-08	5.307184e-09	4.280613e-08	1.562085e-07	4.171071e-08	8.624551e-09	7.463092e-08	3.980402e-09	3.39002e-08	0.9999881	1.691861e-08	6.29913e-08	6.933779e-08	1.026226e-08	1.576982e-07	1.185228e-07	1.095477e-05	1.624927e-08	1.028833e-08	1.890744e-08	1.625319e-08	2.985291e-09	9.813511e-07	0.9999871	IMC	IMC	0.6506237	0.01714504	0.9378815	0.5007316	4.744882e-07	4.332487e-44	3.352615e-42	2.915158e-40	1.344376e-41	6.242453e-13	4.962806e-31	6.935144e-10	5.489003e-78	4.889714e-17	2.288998e-13	1.288708e-39	2.668624e-15	0.2195265	0.6506237	4.262015e-13	2.346573e-88	2.511615e-75	2.73957e-26	1.580581e-67	7.943055e-102	0.1297459	4.21333e-08	0.0001038312	1.170877e-23	2.822329e-15	5.171929e-37	0.6506234	unknown
TGME49_251780	heat shock protein	mitochondrion - soluble	mitochondrion - soluble	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	mitochondrion - soluble	mitochondrion - soluble	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	mitochondrion - soluble
TGME49_286580	hypothetical protein	IMC	IMC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	IMC	IMC	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	IMC
TGME49_223920	rhoptry neck protein RON3	rhoptries 1	rhoptries 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	rhoptries 1	rhoptries 1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	rhoptries 1
TGME49_228170	inner membrane complex protein IMC2A	unknown	dense granules	1	6.916205e-12	5.695705e-12	1.138452e-11	1.586461e-11	1.91213e-11	6.509378e-12	5.250265e-11	1.915931e-10	1	1.05782e-11	9.153646e-11	4.88205e-12	4.157898e-11	3.335079e-11	2.075105e-11	7.72602e-11	8.504432e-11	1.258689e-11	1.934203e-10	1.453708e-10	4.720633e-11	1.993008e-11	1.261879e-11	2.319039e-11	1.99349e-11	3.661525e-12	1.203649e-09	1	dense granules	dense granules	1	1	1	2.829341e-08	2.979152e-10	2.645599e-36	8.065443e-41	1.619776e-25	1.280673e-26	1.00894e-16	5.170914e-18	1.048702e-24	1.993853e-67	1	2.158741e-22	4.113502e-29	7.7746e-17	1.791299e-31	3.385919e-29	8.000657e-34	4.747524e-52	2.100317e-28	1.217882e-12	1.818823e-17	2.726289e-35	7.647149e-22	5.330697e-41	1.348068e-09	2.987545e-17	4.730775e-29	1.327218e-28	1	dense granules
TGME49_217680	hypothetical protein	unknown	dense granules	1	4.698329e-11	3.869217e-11	7.733754e-11	1.077718e-10	1.298951e-10	4.421962e-11	3.56662e-10	1.301534e-09	1	7.186002e-11	6.218271e-10	3.316483e-11	2.824551e-10	2.265592e-10	1.409664e-10	5.248454e-10	5.777246e-10	8.550547e-11	1.313983e-09	9.875355e-10	3.206829e-10	1.353894e-10	8.572218e-11	1.575374e-10	1.354221e-10	2.487354e-11	8.176648e-09	1	dense granules	dense granules	1	1	1	9.883362e-10	4.22385e-09	6.026021e-37	1.389657e-41	2.030863e-25	5.1621e-26	3.69002e-22	1.43822e-15	7.691246e-36	2.536781e-74	1	8.711836e-25	2.004345e-31	4.353994e-20	4.495858e-37	1.04187e-34	1.65609e-40	4.019518e-48	5.570047e-25	3.189376e-11	4.491341e-12	4.869266e-29	2.555581e-25	1.809868e-46	2.528422e-12	1.592488e-16	1.633078e-31	5.411862e-28	1	dense granules
TGME49_269180	MIF4G domain-containing protein	unknown	nucleus - non-chromatin	0.9996216	2.174259e-06	1.790569e-06	3.578971e-06	4.987385e-06	6.011195e-06	2.046364e-06	1.650535e-05	6.023146e-05	1.608297e-05	3.325487e-06	2.877647e-05	1.534778e-06	1.307126e-05	1.048455e-05	6.523543e-06	2.428842e-05	2.673553e-05	3.956961e-06	6.081563e-05	0.9996673	1.484033e-05	6.265455e-06	3.96699e-06	7.290403e-06	6.266968e-06	1.15108e-06	0.0003783931	0.9992433	nucleus - non-chromatin	nucleus - non-chromatin	0.9999992	0.9999962	0.9999999	1.207643e-05	9.249237e-06	1.951476e-17	1.209677e-34	1.204423e-11	1.806584e-16	3.512323e-49	2.82486e-22	2.940898e-85	5.441903e-22	6.125535e-38	2.961307e-27	4.158135e-113	1.824787e-42	2.923121e-65	3.769867e-66	6.719032e-67	1.036555e-110	3.025978e-77	9.085488e-09	8.336478e-07	0.9999992	7.826842e-40	2.273154e-68	4.539225e-26	4.072501e-49	1.236211e-58	1.365365e-22	0.9999899	nucleus - non-chromatin
TGME49_221320	acetyl-CoA carboxylase ACC1	apicoplast	apicoplast	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	apicoplast	apicoplast	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	apicoplast
TGME49_310010	rhoptry neck protein RON1	unknown	rhoptries 1	1	3.77066e-11	3.105254e-11	6.206751e-11	8.649261e-11	1.042478e-10	3.548861e-11	2.862403e-10	1.044551e-09	2.789154e-10	5.767151e-11	4.990496e-10	2.661655e-11	2.266853e-10	1.818259e-10	1.131331e-10	4.212165e-10	4.636549e-10	6.862272e-11	1.054512e-09	7.9255e-10	2.573652e-10	1.086572e-10	6.879664e-11	1	1.086835e-10	1.996235e-11	6.562197e-09	1	rhoptries 1	rhoptries 1	0.9999996	0.9999975	1	5.814093e-06	1.42265e-11	7.706746e-42	8.383464e-39	2.533001e-37	9.438789e-39	2.489533e-22	7.06939e-17	9.646005e-40	2.400667e-83	3.892379e-33	5.172933e-18	1.976854e-56	2.413203e-20	2.552611e-24	6.513827e-30	1.501982e-28	2.000164e-69	4.991687e-52	1.620478e-22	9.801446e-85	7.8246e-103	7.243817e-18	3.203465e-30	1.452268e-21	0.9999996	4.004468e-07	2.949672e-31	0.9999996	rhoptries 1
TGME49_313270	hypothetical protein	unknown	nucleus - chromatin	0.9999999	4.990253e-10	4.109626e-10	8.21428e-10	1.14468e-09	1.37966e-09	4.696715e-10	3.788227e-09	1.382403e-08	3.691286e-09	7.632495e-10	6.604636e-09	3.522548e-10	3.000051e-09	2.406362e-09	1.497252e-09	5.57456e-09	6.136208e-09	9.081824e-10	0.9999999	1.048899e-08	3.406081e-09	1.438017e-09	9.104842e-10	1.673258e-09	1.438364e-09	2.641902e-10	8.684693e-08	0.9999998	nucleus - chromatin	nucleus - chromatin	1	1	1	2.249143e-08	1.52838e-09	1.610989e-15	4.41428e-36	1.977187e-19	4.824485e-23	1.594371e-34	1.845299e-17	2.931112e-74	3.769907e-32	1.474154e-22	9.795975e-22	1.121011e-70	1.063422e-34	5.683751e-49	2.028213e-55	9.270224e-58	9.78979e-73	7.489609e-40	1.038809e-09	1	5.143876e-13	2.160101e-30	4.371589e-59	5.427569e-14	7.542081e-36	1.488768e-46	1.064753e-22	1	nucleus - chromatin
TGME49_290160	sortilin, putative	Golgi	Golgi	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Golgi	Golgi	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Golgi
TGME49_205470	translation elongation factor 2 family protein, putative	unknown	cytosol	0.9999988	7.016774e-09	5.778527e-09	1.155006e-08	1.60953e-08	1.939934e-08	6.604031e-09	5.32661e-08	0.999999	5.190301e-08	1.073202e-08	9.28675e-08	4.95304e-09	4.218358e-08	3.383575e-08	2.105279e-08	7.838365e-08	8.628095e-08	1.276991e-08	1.962328e-07	1.474846e-07	4.789276e-08	2.021989e-08	1.280228e-08	2.35276e-08	2.022477e-08	3.714768e-09	1.221151e-06	0.9999976	cytosol	cytosol	0.9999992	0.9999977	0.9999998	1.218856e-05	1.319015e-08	8.222746e-07	2.084749e-20	9.009698e-31	3.824804e-46	4.186751e-75	3.045899e-37	1.955176e-109	0.9999992	6.983103e-83	7.960364e-32	2.780767e-190	2.858311e-48	1.01461e-78	3.968978e-78	1.864735e-77	1.072599e-166	1.231127e-152	6.447316e-21	1.013841e-54	4.491394e-36	1.06191e-50	1.517335e-73	2.306937e-30	4.069103e-75	2.586852e-74	1.352204e-38	0.9999992	cytosol
